Time Period,B_State,Charge_R,Discharge_R,Grid_I,Grid_E
0,0.0,0.0,24555.2314197313,0.0,24555.2314197313
1,0.0,0.0,0.0,611.4729886,0.0
2,0.0,0.0,0.0,3105.31046,0.0
3,5999.21851658684,6314.96685956509,0.0,8616.59513456509,0.0
4,5999.2065181498,0.0,0.0,2173.745017,0.0
5,2945.95054499993,0.0,2900.581776,0.0,0.0
6,368.338892046205,0.0,2448.725473,0.0,0.0
7,0.0,0.0,349.9212476,0.0,0.0
8,0.0,0.0,0.0,4970.220921,0.0
9,4911.36550401736,5169.85842528143,0.0,8336.90604128143,0.0
10,28238.8255300311,24555.2314197313,0.0,28980.7784127313,0.0
11,51566.2389011248,24555.2314197313,0.0,29083.8077387313,0.0
12,74893.6056173917,24555.2314197313,0.0,32504.1786787313,0.0
13,98220.9256789252,24555.2314197313,0.0,34204.4156287313,0.0
14,98220.9256789252,0.206780896160605,0.0,11964.6430508962,0.0
15,98220.7292370738,0.0,0.0,11487.75466,0.0
16,89674.9533692996,0.0,8118.300455,0.0,0.0
17,79627.9731509718,0.0,9544.460825,0.0,0.0
18,53780.2018742557,0.0,24555.2314197313,0.0,14848.3028907313
19,27932.4822930822,0.0,24555.2314197313,0.0,15829.7188947313
20,18819.2144175913,0.0,8657.55141,0.0,0.0
21,10500.9721244256,0.0,7902.294422,0.0,0.0
22,170.390937218202,0.0,9814.032176,0.0,0.0
23,0.0,0.0,161.871066614512,10564.5879533855,0.0
24,0.0,0.0,0.0,5524.085626,0.0
25,0.0,0.0,0.0,2367.211598,0.0
26,0.0,0.0,0.0,2874.860374,0.0
27,11955.3572208241,12584.5865482359,0.0,13664.9096662359,0.0
28,11955.3333101097,0.0,0.0,0.0,0.0
29,8137.32393207465,0.0,3627.086194,0.0,0.0
30,6792.39760584784,0.0,1277.664549,0.0,0.0
31,0.0,0.0,6452.76482,0.0,0.0
32,0.0,0.0,0.0,7688.606383,0.0
33,4911.36550401736,5169.85842528143,0.0,14452.3697422814,0.0
34,28238.8255300311,24555.2314197313,0.0,30156.7481977313,0.0
35,51566.2389011248,24555.2314197313,0.0,28787.8425207313,0.0
36,74893.6056173917,24555.2314197313,0.0,30125.1173847313,0.0
37,98220.9256789252,24555.2314197313,0.0,32128.4937397313,0.0
38,98220.9256789252,0.206780896160605,0.0,9061.46988789616,0.0
39,98220.7292370738,0.0,0.0,6250.387246,0.0
40,91442.7725303522,0.0,6438.872252,0.0,0.0
41,83338.3631521756,0.0,7699.015168,0.0,0.0
42,57490.5844546795,0.0,24555.2314197313,0.0,16012.8243527313
43,31642.8574527408,0.0,24555.2314197313,0.0,16949.3557097313
44,24977.0625249206,0.0,6332.44506,0.0,0.0
45,18387.7361297429,0.0,6259.812619,0.0,0.0
46,11663.4922226917,0.0,6387.996775,0.0,0.0
47,6830.62518833888,0.0,4591.201522,0.0,0.0
48,3779.7263470885,0.0,2898.340921,0.0,0.0
49,3779.71878763581,0.0,0.0,2910.934411,0.0
50,3779.71122819823,0.0,0.0,2282.237002,0.0
51,16059.2510317653,12925.8393294627,0.0,19013.1225794627,0.0
52,16059.2189132633,0.0,0.0,5278.721723,0.0
53,11814.6517737728,0.0,4032.30827,0.0,0.0
54,6302.76094552189,0.0,5236.273839,0.0,0.0
55,0.0,0.0,5987.610923,0.0,0.0
56,0.0,0.0,0.0,6281.680237,0.0
57,4911.36550401736,5169.85842528143,0.0,10159.6439992814,0.0
58,28238.8255300311,24555.2314197313,0.0,31737.7712577313,0.0
59,51566.2389011248,24555.2314197313,0.0,33049.2233567313,0.0
60,74893.6056173917,24555.2314197313,0.0,31629.7655737313,0.0
61,98220.9256789252,24555.2314197313,0.0,29690.6174227313,0.0
62,98220.9256789252,0.206780896160605,0.0,6294.63997289616,0.0
63,98220.7292370738,0.0,0.0,8634.210105,0.0
64,85537.6642903522,0.0,12048.72508,0.0,0.0
65,75884.8849044973,0.0,9169.977895,0.0,0.0
66,50037.1211139577,0.0,24555.2314197313,0.0,14051.6986597313
67,24189.4090189457,0.0,24555.2314197313,0.0,14347.3321597313
68,14231.5323053909,0.0,9459.936918,0.0,0.0
69,6512.21574969466,0.0,7333.323688,0.0,0.0
70,0.0,0.0,6186.592589,0.0,0.0
71,0.0,0.0,0.0,6299.681109,0.0
72,0.0,0.0,0.0,5923.101806,0.0
73,0.0,0.0,0.0,5592.595637,0.0
74,0.0,0.0,0.0,5843.65794,0.0
75,20813.0469062864,21908.4704276699,0.0,27138.3466766699,0.0
76,20813.0052801925,0.0,0.0,4844.777082,0.0
77,13834.132074182,0.0,6629.890001,0.0,0.0
78,7892.43260381258,0.0,5644.588212,0.0,0.0
79,0.0,0.0,7497.795978,0.0,0.0
80,0.0,0.0,0.0,9040.213709,0.0
81,4911.36550401736,5169.85842528143,0.0,13859.3845372814,0.0
82,28238.8255300311,24555.2314197313,0.0,34128.7189557313,0.0
83,51566.2389011248,24555.2314197313,0.0,33306.3312707313,0.0
84,74893.6056173917,24555.2314197313,0.0,34040.9871507313,0.0
85,98220.9256789252,24555.2314197313,0.0,34941.4319797313,0.0
86,98220.9256789252,0.206780896160605,0.0,10636.6926108962,0.0
87,98220.9256789252,0.206780896160605,0.0,9024.89207189616,0.0
88,85999.9543002317,0.0,11609.73619,0.0,0.0
89,73743.1582897968,0.0,11643.79281,0.0,0.0
90,50753.7249305469,0.0,21839.8215792867,0.0,10303.0889892867
91,24906.0114023273,0.0,24555.2314197313,0.0,11936.2759097313
92,14098.6651481992,0.0,10266.93162,0.0,0.0
93,5544.38181402679,0.0,8126.54238,0.0,0.0
94,0.0,0.0,5267.152189,0.0,0.0
95,0.0,0.0,0.0,6937.137047,0.0
96,0.0,0.0,0.0,7293.434609,0.0
97,0.0,0.0,0.0,4342.518665,0.0
98,0.0,0.0,0.0,4664.785723,0.0
99,10489.5868969774,11041.670417871,0.0,16031.299116871,0.0
100,10489.5659178036,0.0,0.0,5415.974388,0.0
101,5658.41908498758,0.0,4589.569561,0.0,0.0
102,2507.23260288626,0.0,2993.616407,0.0,0.0
103,0.0,0.0,2381.866209,0.0,0.0
104,0.0,0.0,0.0,1090.49997,0.0
105,4911.36550401736,5169.85842528143,0.0,13093.0528712814,0.0
106,28238.8255300311,24555.2314197313,0.0,29942.0012357313,0.0
107,51566.2389011248,24555.2314197313,0.0,30145.9677077313,0.0
108,74893.6056173917,24555.2314197313,0.0,32331.5778607313,0.0
109,98220.9256789252,24555.2314197313,0.0,34645.2722797313,0.0
110,98220.9256789252,0.206780896160605,0.0,8140.75213189616,0.0
111,98220.9256789252,0.206780896160605,0.0,6078.56716489616,0.0
112,86698.4538370738,0.0,10946.16163,0.0,0.0
113,74811.7690822714,0.0,11292.18579,0.0,0.0
114,62308.4074587333,0.0,11878.0514,0.0,0.0
115,41529.391596037,0.0,19739.9466835873,0.0,6977.35798358731
