datetime,PV_power_rate,load_kW,Elec Price
1/1/2023 0:00,0,0,0.152
1/1/2023 1:00,0,611.4729886,0.143
1/1/2023 2:00,0,3105.31046,0.137
1/1/2023 3:00,0,2301.628275,0.137
1/1/2023 4:00,0,2173.745017,0.145
1/1/2023 5:00,0,2900.581776,0.172
1/1/2023 6:00,0.026598164,2448.725473,0.204
1/1/2023 7:00,0.108376108,349.9212476,0.185
1/1/2023 8:00,0.164257763,4970.220921,0.144
1/1/2023 9:00,0.255931683,3167.047616,0.123
1/1/2023 10:00,0.321307193,4425.546993,0.113
1/1/2023 11:00,0.579142063,4528.576319,0.109
1/1/2023 12:00,0.741525833,7948.947259,0.11
1/1/2023 13:00,0.601147287,9649.184209,0.116
1/1/2023 14:00,0.622141523,11964.43627,0.127
1/1/2023 15:00,0.536982483,11487.75466,0.148
1/1/2023 16:00,0.359396597,8118.300455,0.181
1/1/2023 17:00,0.14330258,9544.460825,0.244
1/1/2023 18:00,0.01239976,9706.928529,0.279
1/1/2023 19:00,0,8725.512525,0.294
1/1/2023 20:00,0,8657.55141,0.249
1/1/2023 21:00,0,7902.294422,0.213
1/1/2023 22:00,0,9814.032176,0.181
1/1/2023 23:00,0,10726.45902,0.163
1/2/2023 0:00,0,5524.085626,0.152
1/2/2023 1:00,0,2367.211598,0.143
1/2/2023 2:00,0,2874.860374,0.137
1/2/2023 3:00,0,1080.323118,0.137
1/2/2023 4:00,0,0,0.145
1/2/2023 5:00,0.000111273,3627.086194,0.172
1/2/2023 6:00,0.095442716,1277.664549,0.204
1/2/2023 7:00,0.210569223,6452.76482,0.185
1/2/2023 8:00,0.33728794,7688.606383,0.144
1/2/2023 9:00,0.345759227,9282.511317,0.123
1/2/2023 10:00,0.418783957,5601.516778,0.113
1/2/2023 11:00,0.58672425,4232.611101,0.109
1/2/2023 12:00,0.741955857,5569.885965,0.11
1/2/2023 13:00,0.762330767,7573.26232,0.116
1/2/2023 14:00,0.66747658,9061.263107,0.127
1/2/2023 15:00,0.484007743,6250.387246,0.148
1/2/2023 16:00,0.349192363,6438.872252,0.181
1/2/2023 17:00,0.166532853,7699.015168,0.244
1/2/2023 18:00,0.027085086,8542.407067,0.279
1/2/2023 19:00,0,7605.87571,0.294
1/2/2023 20:00,0,6332.44506,0.249
1/2/2023 21:00,0,6259.812619,0.213
1/2/2023 22:00,0,6387.996775,0.181
1/2/2023 23:00,0,4591.201522,0.163
1/3/2023 0:00,0,2898.340921,0.152
1/3/2023 1:00,0,2910.934411,0.143
1/3/2023 2:00,0,2282.237002,0.137
1/3/2023 3:00,0,6087.28325,0.137
1/3/2023 4:00,0,5278.721723,0.145
1/3/2023 5:00,0.000165481,4032.30827,0.172
1/3/2023 6:00,0.046832908,5236.273839,0.204
1/3/2023 7:00,0.202981453,5987.610923,0.185
1/3/2023 8:00,0.441076223,6281.680237,0.144
1/3/2023 9:00,0.41908121,4989.785574,0.123
1/3/2023 10:00,0.636970033,7182.539838,0.113
1/3/2023 11:00,0.730745517,8493.991937,0.109
1/3/2023 12:00,0.744636277,7074.534154,0.11
1/3/2023 13:00,0.67002378,5135.386003,0.116
1/3/2023 14:00,0.586638947,6294.433192,0.127
1/3/2023 15:00,0.514914587,8634.210105,0.148
1/3/2023 16:00,0.35209524,12048.72508,0.181
1/3/2023 17:00,0.168260217,9169.977895,0.244
1/3/2023 18:00,0.028419669,10503.53276,0.279
1/3/2023 19:00,0,10207.89926,0.294
1/3/2023 20:00,0,9459.936918,0.249
1/3/2023 21:00,0,7333.323688,0.213
1/3/2023 22:00,0,6186.592589,0.181
1/3/2023 23:00,0,6299.681109,0.163
1/4/2023 0:00,0,5923.101806,0.152
1/4/2023 1:00,0,5592.595637,0.143
1/4/2023 2:00,0,5843.65794,0.137
1/4/2023 3:00,0,5229.876249,0.137
1/4/2023 4:00,0,4844.777082,0.145
1/4/2023 5:00,0.000737094,6629.890001,0.172
1/4/2023 6:00,0.05819407,5644.588212,0.204
1/4/2023 7:00,0.19970569,7497.795978,0.185
1/4/2023 8:00,0.382438433,9040.213709,0.144
1/4/2023 9:00,0.5388211,8689.526112,0.123
1/4/2023 10:00,0.656914553,9573.487536,0.113
1/4/2023 11:00,0.723832943,8751.099851,0.109
1/4/2023 12:00,0.74255802,9485.755731,0.11
1/4/2023 13:00,0.708701753,10386.20056,0.116
1/4/2023 14:00,0.582797733,10636.48583,0.127
1/4/2023 15:00,0.38618431,9024.685291,0.148
1/4/2023 16:00,0.291579793,11609.73619,0.181
1/4/2023 17:00,0.144492787,11643.79281,0.244
1/4/2023 18:00,0.026777574,11536.73259,0.279
1/4/2023 19:00,0,12618.95551,0.294
1/4/2023 20:00,0,10266.93162,0.249
1/4/2023 21:00,0,8126.54238,0.213
1/4/2023 22:00,0,5267.152189,0.181
1/4/2023 23:00,0,6937.137047,0.163
1/5/2023 0:00,0,7293.434609,0.152
1/5/2023 1:00,0,4342.518665,0.143
1/5/2023 2:00,0,4664.785723,0.137
1/5/2023 3:00,0,4989.628699,0.137
1/5/2023 4:00,0,5415.974388,0.145
1/5/2023 5:00,0.0001268,4589.569561,0.172
1/5/2023 6:00,0.027090249,2993.616407,0.204
1/5/2023 7:00,0.130749003,2381.866209,0.185
1/5/2023 8:00,0.357397943,1090.49997,0.144
1/5/2023 9:00,0.409101143,7923.194446,0.123
1/5/2023 10:00,0.423661378,5386.769816,0.113
1/5/2023 11:00,0.56489679,5590.736288,0.109
1/5/2023 12:00,0.741980963,7776.346441,0.11
1/5/2023 13:00,0.70382686,10090.04086,0.116
1/5/2023 14:00,0.131363203,8140.545351,0.127
1/5/2023 15:00,0.051678125,6078.360384,0.148
1/5/2023 16:00,0.062542829,10946.16163,0.181
1/5/2023 17:00,0.070209578,11292.18579,0.244
1/5/2023 18:00,0.032433791,11878.0514,0.279
1/5/2023 19:00,0,12762.5887,0.294
1/5/2023 20:00,0,13724.36432,0.249
1/5/2023 21:00,0,13501.71058,0.213
1/5/2023 22:00,0,12226.6923,0.181
1/5/2023 23:00,0,14425.7687,0.163
1/6/2023 0:00,0,10570.43848,0.152
1/6/2023 1:00,0,9374.218285,0.143
1/6/2023 2:00,0,9169.718376,0.137
1/6/2023 3:00,0,7085.358962,0.137
1/6/2023 4:00,0,7994.552619,0.145
1/6/2023 5:00,0,7291.319395,0.172
1/6/2023 6:00,0,8193.981206,0.204
1/6/2023 7:00,0.000124477,7045.185296,0.185
1/6/2023 8:00,0.012015145,10817.37124,0.144
1/6/2023 9:00,0.090684295,8526.047917,0.123
1/6/2023 10:00,0.333942833,8346.952878,0.113
1/6/2023 11:00,0.524493543,8250.437869,0.109
1/6/2023 12:00,0.686306967,9505.638826,0.11
1/6/2023 13:00,0.551388223,11473.72995,0.116
1/6/2023 14:00,0.607216683,10878.7962,0.127
1/6/2023 15:00,0.51356472,12136.95496,0.148
1/6/2023 16:00,0.28946978,11979.93515,0.181
1/6/2023 17:00,0.130236793,13913.03603,0.244
1/6/2023 18:00,0.024819485,12170.66995,0.279
1/6/2023 19:00,0,9307.262795,0.294
1/6/2023 20:00,0,6250.949355,0.249
1/6/2023 21:00,0,4163.595723,0.213
1/6/2023 22:00,0,5098.689911,0.181
1/6/2023 23:00,0,5097.79014,0.163
1/7/2023 0:00,0,6844.955135,0.152
1/7/2023 1:00,0,3173.17394,0.143
1/7/2023 2:00,0,5065.058798,0.137
1/7/2023 3:00,0,3054.892576,0.137
1/7/2023 4:00,0,3850.577728,0.145
1/7/2023 5:00,0.001059192,6433.196385,0.172
1/7/2023 6:00,0.054426812,7881.317235,0.204
1/7/2023 7:00,0.19403459,11190.02801,0.185
1/7/2023 8:00,0.384923873,10131.52347,0.144
1/7/2023 9:00,0.5341457,11162.94161,0.123
1/7/2023 10:00,0.59839087,12871.46187,0.113
1/7/2023 11:00,0.711936617,13665.70452,0.109
1/7/2023 12:00,0.690503443,15088.19878,0.11
1/7/2023 13:00,0.643851557,14444.5326,0.116
1/7/2023 14:00,0.48840324,12123.56242,0.127
1/7/2023 15:00,0.506175633,6630.334655,0.148
1/7/2023 16:00,0.284642253,7074.215711,0.181
1/7/2023 17:00,0.081587363,11608.47008,0.244
1/7/2023 18:00,0.021596568,10412.81778,0.279
1/7/2023 19:00,0,11210.82732,0.294
1/7/2023 20:00,0,12335.12752,0.249
1/7/2023 21:00,0,12010.74742,0.213
1/7/2023 22:00,0,11861.11956,0.181
